Frame: 33, ID: 29 Class: car, Coor: 3205,1850,3357,1965
Frame: 33, ID: 31 Class: clock, Coor: 2655,1473,2816,1619
Frame: 33, ID: 35 Class: bird, Coor: 2757,677,2893,770
Frame: 33, ID: 36 Class: car, Coor: 2912,1702,3114,1800
Frame: 33, ID: 37 Class: car, Coor: 3758,2049,3839,2153
Frame: 33, ID: 41 Class: car, Coor: 2805,1611,2858,1669
Frame: 34, ID: 2 Class: bird, Coor: 2388,1110,2510,1235
Frame: 34, ID: 3 Class: bird, Coor: 3424,1323,3497,1399
Frame: 34, ID: 4 Class: bird, Coor: 2490,1305,2602,1429
Frame: 34, ID: 5 Class: bird, Coor: 2182,1276,2346,1407
Frame: 34, ID: 10 Class: clock, Coor: 2381,1879,2439,1945
Frame: 34, ID: 29 Class: car, Coor: 3202,1849,3355,1963
Frame: 34, ID: 31 Class: clock, Coor: 2655,1474,2815,1619
Frame: 34, ID: 35 Class: bird, Coor: 2756,677,2893,770
Frame: 34, ID: 36 Class: car, Coor: 2909,1701,3110,1800
Frame: 34, ID: 37 Class: car, Coor: 3758,2049,3839,2153
Frame: 34, ID: 41 Class: car, Coor: 2805,1611,2857,1668
Frame: 35, ID: 3 Class: bird, Coor: 3424,1322,3497,1399
Frame: 35, ID: 5 Class: bird, Coor: 2184,1274,2348,1406
Frame: 35, ID: 8 Class: bird, Coor: 2138,1864,2158,1889
Frame: 35, ID: 10 Class: clock, Coor: 2381,1879,2439,1945
Frame: 35, ID: 29 Class: car, Coor: 3198,1847,3353,1963
Frame: 35, ID: 31 Class: clock, Coor: 2655,1474,2815,1619
Frame: 35, ID: 35 Class: bird, Coor: 2756,677,2893,770
Frame: 35, ID: 36 Class: car, Coor: 2905,1698,3109,1799
Frame: 35, ID: 37 Class: car, Coor: 3759,2050,3839,2154
Frame: 36, ID: 2 Class: bird, Coor: 2391,1105,2512,1231
Frame: 36, ID: 3 Class: bird, Coor: 3424,1323,3497,1399
Frame: 36, ID: 4 Class: bird, Coor: 2490,1306,2600,1429
Frame: 36, ID: 5 Class: bird, Coor: 2186,1270,2349,1402
Frame: 36, ID: 8 Class: bird, Coor: 2138,1864,2158,1889
Frame: 36, ID: 10 Class: clock, Coor: 2382,1880,2438,1945
Frame: 36, ID: 29 Class: car, Coor: 3195,1845,3353,1963
Frame: 36, ID: 31 Class: clock, Coor: 2654,1474,2815,1619
Frame: 36, ID: 35 Class: bird, Coor: 2756,677,2894,770
Frame: 36, ID: 36 Class: car, Coor: 2884,1697,3127,1821
Frame: 36, ID: 37 Class: car, Coor: 3759,2050,3839,2154
Frame: 37, ID: 2 Class: bird, Coor: 2395,1102,2515,1229
Frame: 37, ID: 3 Class: bird, Coor: 3424,1323,3498,1399
Frame: 37, ID: 4 Class: bird, Coor: 2489,1306,2600,1429
Frame: 37, ID: 5 Class: bird, Coor: 2187,1268,2351,1400
Frame: 37, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 37, ID: 10 Class: clock, Coor: 2382,1880,2438,1945
