Frame: 45, Class: person, Coor: 2491,1307,2599,1428
Frame: 45, Class: bird, Coor: 3424,1324,3497,1399
Frame: 45, Class: car, Coor: 2208,1251,2361,1393
Frame: 45, Class: bird, Coor: 3641,934,3712,1005
Frame: 45, Class: car, Coor: 2750,672,2890,771
Frame: 46, Class: car, Coor: 3176,1836,3329,1953
Frame: 46, Class: car, Coor: 2383,1881,2438,1945
Frame: 46, Class: car, Coor: 2258,1900,2276,1927
Frame: 46, Class: car, Coor: 2197,1882,2217,1908
Frame: 46, Class: car, Coor: 2139,1864,2158,1890
Frame: 46, Class: car, Coor: 2079,1847,2099,1873
Frame: 46, Class: car, Coor: 2901,1686,3072,1822
Frame: 46, Class: car, Coor: 2715,1652,2750,1691
Frame: 46, Class: bird, Coor: 2655,1473,2816,1622
Frame: 46, Class: bird, Coor: 2023,1446,2197,1571
Frame: 46, Class: bird, Coor: 2491,1307,2599,1428
Frame: 46, Class: clock, Coor: 3424,1324,3498,1399
Frame: 46, Class: bird, Coor: 2210,1248,2364,1387
Frame: 46, Class: clock, Coor: 3641,935,3712,1005
Frame: 46, Class: person, Coor: 2749,670,2889,772
Frame: 47, Class: car, Coor: 3760,2052,3840,2155
Frame: 47, Class: car, Coor: 3174,1835,3327,1952
Frame: 47, Class: car, Coor: 2383,1881,2438,1945
Frame: 47, Class: car, Coor: 2257,1900,2276,1927
Frame: 47, Class: car, Coor: 2197,1882,2217,1908
Frame: 47, Class: person, Coor: 2139,1864,2158,1891
Frame: 47, Class: car, Coor: 2900,1685,3069,1821
Frame: 47, Class: bird, Coor: 2714,1649,2748,1695
Frame: 47, Class: bird, Coor: 2655,1474,2815,1622
Frame: 47, Class: car, Coor: 2028,1450,2206,1575
Frame: 47, Class: person, Coor: 2491,1307,2599,1428
Frame: 47, Class: bird, Coor: 2212,1248,2366,1383
Frame: 47, Class: car, Coor: 1554,1080,1646,1235
Frame: 47, Class: clock, Coor: 3641,935,3712,1006
Frame: 47, Class: car, Coor: 2749,670,2890,772
Frame: 47, Class: car, Coor: 147,170,284,281
Frame: 48, Class: car, Coor: 3173,1835,3325,1952
Frame: 48, Class: clock, Coor: 2383,1881,2438,1945
Frame: 48, Class: car, Coor: 2258,1900,2276,1927
Frame: 48, Class: clock, Coor: 2197,1882,2217,1908
Frame: 48, Class: car, Coor: 2139,1865,2158,1891
Frame: 48, Class: car, Coor: 2079,1847,2099,1873
Frame: 48, Class: car, Coor: 2899,1684,3069,1822
Frame: 48, Class: car, Coor: 2715,1652,2749,1691
Frame: 48, Class: bird, Coor: 2654,1474,2816,1622
Frame: 48, Class: person, Coor: 2035,1453,2212,1575
Frame: 48, Class: bird, Coor: 2491,1307,2599,1427
Frame: 48, Class: bird, Coor: 3424,1324,3498,1399
Frame: 48, Class: car, Coor: 2221,1246,2368,1382
Frame: 48, Class: bird, Coor: 3641,935,3712,1006
Frame: 48, Class: car, Coor: 2748,673,2888,771
Frame: 48, Class: car, Coor: 152,172,286,283
Frame: 49, Class: car, Coor: 3173,1833,3322,1952
Frame: 49, Class: clock, Coor: 2383,1881,2438,1945
Frame: 49, Class: car, Coor: 2258,1900,2277,1927
Frame: 49, Class: car, Coor: 2197,1882,2217,1908
Frame: 49, Class: car, Coor: 2138,1864,2158,1890
